Duplicate names: 
Eastern Althatta 
Least White-eye 
Chestnut-headed Antpitta 
White-winged Ibis 
Pied Mureca 
Streak-breasted Grownemaid-Pglgess 
Yellow Whistling 
Eurasian Metalquin 
Blue-winged Barbet 
Eordgan's Hawk 
Green Bercat 
FWestam Quail-thrush 
Black-shouldered Swallow 
Black-and-white Sparrowhwing 
Blue Grouse-Warbler 
Pied Thornbill 
Somali Parusheet 
Chestnut-rumped Screech-Owl 
Peruian Kite 
Costano White-eye 
Chestnut-capped Cuckooshrike 
Bure-necked Cuckoo-Dove 
Austral Srinia 
Banded Finch 
Common Rock-Tanager 
Black-winged Cuckoo 
Stroaked Fantail 
Rufous-throated Hummingbird 
Asian Finchbill 
Dian Meed Warbler 
Dusky Gnatwate 
Blue-bellied White-eye 
Yellow-breasted Manakin 
Silver's Lory 
Cormon Pigeon 
Grey-beaded Tit 
Madagascar Dazrid-Parfon 
Crownid Tanager 
Red-billed Wren 
Tamperou's Brilliant 
Lesser Spoth-Spirded 
Vitior Sparrow 
Warbled Wren 
Grey-breasted Antpitta 
Amafron Antbird 
Aubbes's Lark 
Orange-eared Thrush 
Red-headed Lapwing 
Red Woodwill 
Rufous-breasted Owlet 
Eurasian Boobook 
Plaun-throated Tanager 
Kariwa Bulbul 
Green Ground-Dove 
Rufous-capped Barting 
Unueti Thrush 
Pin-tailed Pipit 
Rufous-browed Bush Harrot 
Green-winged Siskin 
White-winged Kingfisher 
Pale-breasted Pipit 
Rufous-throated Tit-Spencatch 
Indi Sunbird 
Red-and-brown Nightjar 
Siperria Blue Tyrant  
Sulawesi Reed Warbler 
Pale-faced Ground-Jane 
Grey Thrush 
Ash-breasted Parrot 
Green Eaculow 
Brown-headed Piculet 
Monersan Owlet-nightjar 
Hill Toucal 
Vordican Sandpiper 
Chestnut-collared Woodpecker 
Lause Woodpecker 
Spotted Lovebill 
Bariegen's Tyrannulet 
Golden-fronted Tody-Flycatcher 
Tundan Cuckoo-Dove 
Azare Seedeater 
Southern Hongol 
West Bleed Antshrike 
Abyssinian Rail 
White-breast Woodpecker 
White-rumped Jacana 
White-tailed Potthrrow 
Greater Tholbird 
Red-shouddered Lory 
Ulusy Grans Oriole 
Red-billed Fruit-Dove 
Silver-crested Monarch 
Eregan Parrot 
Northern Golden Flycatcher 
Thinecked Woodcreeper 
Mouse-headed Nightjar 
Rufous-tailed Thrush 
Yellow-bellied Chat 
Vinin-banded Warbler 
White-winged Bush-Thrush 
Spotted Swallow 
Varied Laruseter 
Cape Houngfinch 
Grannbellin's Sunbird 
Nidguna Tanager 
Bonjihe Warbler 
Eurolanean Partridge 
Brown-rumped Hermit 
Slytyed Bulbul 
Rusty-rumped Weaver 
White-throated Spidehath 
Manpin's Bluetail 
Short-tiiged Shama 
Jakimua Bush-Tyrant 
Solomon Sendsing 
Blue Laughinghrusher 
Madagascar Parrot 
Streaked Honeyguide 
White-winged Pipit 
Orange Rosel 
White-headed Sulket 
Bushirk Cisticola 
American Cuttreshrike 
Rufous-winged Ground-Pigern 
Red-chinned Lark 
Iberian Babbler 
Batrad Blue Flycatcher 
Crested Jecurebird 
Great-capped Starling 
Rihtwred Tern 
Torle Antshrike 
Eurasian Stinetallow 
Ceiroous Scimitar-Babbler 
Western Long's Hornbill 
Australian Baye Sandping 
American Gerypecker 
Krinted Antbird 
Tapar Parakeet 
Black-backed Flowerpecker 
White-spotted Storm-Petrel 
Maverita Flycatcher 
Slaty Crow 
Green-barred Quail 
White-throated Huwkyzet 
Marbled Cuckoo 
Sao Tome Bubil 
Rufous-capped Pruik 
Cormon Red-billed Antbird 
Orientacle Buttonquail 
Yellow-flanked Tapaculo 
Bonunan Firetail 
Chestnut-bellied Flatbill 
Masked Murnef Warbler 
Greater Gultefter 
Red-throated Beabe 
Carai Blue Coucal 
Pale-billed Seedeater 
Mountain Spinerbill 
Rufous-throated Blearedgoss 
Green Cararo 
Moustan Reed Warbler 
Aklamb Crow 
Plack-faced Treecreeper 
Kearl Howe Rail 
Bamrumesi's Myna 
Sharpe's Honeyguide 
Spotted Sicklebill 
Black-bellied Honeyguide 
Collared Quail 
Grey-breasted Dacting-Kingbird 
Brown-backed Cuckoo 
Duzulanan White-eye 
Median Flatbill 

Unique names:
Linercople Chrashoper 
Rowalice Farif 
Mouthern Grey-throate 
Mycret-billed Wood-Pow-eye 
Niquuusii Puthuzule 
Black-and-bellisand Pincol 
Marthern Wood-Pigeo 
Maunida Raiquue 
Narna Paradise-Kiveo 
Chystnut Owlet-winglet 
Black-and-head Sarwing 
King-rumpecred Geoterbill 
Visa Spanaming 
Flainian 
Black-Ganged Tit-Swallow 
Aratzell Harnkeet 
Yedcollared Wood-Pickoo 
Turquis Courfey 
Floisson-bellied Parakeete 
Malascar Eared-Phelorn 
Solow Golding-Peafow 
Gravelion 
Maraon Rogefo WarblingFinch 
Solay Tzument-Swallow 
Goadal Harw 
Coyran Paradise-Knig 
Beldgbura 
Canbilla 
Sambar Bitter 
Arimalatea 
Strage-capped Sponechat 
Grabo 
Reunscont's Scimmitra 
Oiembelles Cuiker 
Mouse-collared Berellove 
Snoroj Swallow- 
oluna Collparpi 
Giany SparrowLand 
Bonanan Penduille-Thrush 
Vibeta 
Nele's Spidehuh 
Greenisk Whiteter 
Padagcaso Woodjangminggges 
Janana Thusharp 
Runstar's Giole-Dwal 
Chrested Spandlobill 
Dorky Elaa 
Bark-crested Stopewat 
Green-houded Parjita 
White-tibted Myzanebird 
Baamaru Fireftich 
Cinnamson'ss Phacaialo 
Red-stroulded eropet 
Nerute Tit-tail 
Malausian Swilletard 
Fule Althuth 
Phellaobra 
Kemgon Berrinte Hemidgebird 
Nigronial Sobiter 
Fuletan Faine-Grounder 
Orine's Warbling-Dunch 
Vime's Crukebird 
Corenian Yellow-King 
Leatteld Antripl 
Grey-and-houl 
Aupcolo's Conebil 
Ash-wheseer 
Vurk-throated Fulwlbird 
Meronian Kin-Piff 
Lyar Blacknis 
Salvamar's Quai 
minkle Starminglebard 
Litht Bluethurkey 
Stepper Nivetail 
Smalked Kirt 
Flaine's Tody-Floncarter 
Yalva Aclattora 
Jevwnes Berebird 
Solifan Bleedinghroshe 
